Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/6/2022 8:45:43,Academic Block,Female,Alone,2-3 Hrs,No,Maitreyi,Both,PHD,Civil Engineering,Both are equally preferable,Slides,
4/6/2022 8:59:43,Your Room,Male,Alone,3-4 Hrs,No,,Study Table,Undergraduate,Civil Engineering,Both are equally preferable,Recording,
4/6/2022 9:11:07,Your Room,Male,Alone,3-4 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Material Engineering,Both are equally preferable,Slides,
4/6/2022 9:12:39,Academic Block,Male,Prefer Group Study,2-3 Hrs,Sometimes,Kapila,Both,Postgraduate,Bio Engineering,Both are equally preferable,Recording,
4/6/2022 9:27:01,Your Room,Male,Alone,3-4 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Electrical Engineering,Recording,Recording,
4/6/2022 9:36:33,Your Room,Male,Alone,2-3 Hrs,No,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Both are equally preferable,Recording,
4/6/2022 10:56:13,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Bed,Undergraduate,Mechanical Engineering,Both are equally preferable,Slides,
4/6/2022 13:34:21,Academic Block,Male,Alone,2-3 Hrs,Yes,Kapila,Study Table,Postgraduate,Others,Both are equally preferable,Recording,
4/6/2022 14:00:24,Your Room,Male,Alone,1-2 Hrs,,Vyasa,Bed,Postgraduate,Mechanical Engineering,Recording,Recording,
4/6/2022 14:57:46,Academic Block,Male,Alone,1-2 Hrs,No,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Live Lectures,Slides,
4/6/2022 17:40:12,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Bed,Undergraduate,Mathematics,Recording,Recording,
4/6/2022 18:31:09,Academic Block,Female,Alone,1-2 Hrs,No,Maitreyi,Both,Postgraduate,Electrical Engineering,Live Lectures,Slides,
4/6/2022 21:37:24,Your Room,Female,With a friend,1-2 Hrs,Sometimes,Maitreyi,Both,Postgraduate,Design Department,Both are equally preferable,Slides,
4/7/2022 12:37:35,Academic Block,Male,With a friend,2-3 Hrs,Yes,Kapila,Both,Postgraduate,Computer Science,Live Lectures,Recording,
4/7/2022 16:32:40,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Both,Undergraduate,Mechanical Engineering,Live Lectures,Slides,
4/7/2022 17:29:02,Academic Block,Female,With a friend,2-3 Hrs,Yes,Bhaskara,Study Table,Undergraduate,Artificial Intelligence,Recording,Recording,
